d82c07cd 629f6fbe fb5647df
0b36f3cd 0d742256 00000000
29b10823 598ca3b4 43c28350
00fdec23 4a30f7cd 0baf8822
a795ac54 01d34690 80000000
23f1b67e 104dff66 00000001
c963d148 6d80ab08 f76501b0
ae358290 38dfe76b a79ec0d0
f87e3560 9bcfb1c4 54ce3dae
6581f934 8ec9ea98 b4cd078a
ebe0572c 3891aef5 e4ff5564
7425f4e9 315e8080 66103daf
56e9b78d 9bbac838 b32a8627
1a32e148 9b3a0c89 80000004
e2014a45 15eb3a3d b86d992e
cb775e24 51abf5e5 dda6297c
52ab793f 8930d179 9c6cdf55
74aba9fc e4bacd78 ff800000
533c9a31 4168705a 552b3e82
0761585b 85a1282a 80000000
0b5aafef 30ac79dd 00009356
5e6364c6 14827a89 3367cc09
35a7c6ed deb4e6c4 d4ed1e38
864696c1 5882e3bb 9f4b126d
3012ae1c d658b1b3 c6f85171
339d78f5 4053b188 348237e6
ac33f644 baa172ac 2762fcfb
